checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,housing,job,own_telephone,foreign_worker,installment_commitment,residence_since,age,existing_credits,duration,credit_amount,num_dependents,class
0<=X<200,critical/other existing credit,education,<100,<1,female div/dep/mar,none,no known property,none,for free,skilled,yes,yes,2,4,24,2,24,5743,1,good
no checking,critical/other existing credit,furniture/equipment,<100,1<=X<4,male single,none,no known property,none,for free,skilled,yes,yes,4,2,28,1,15,3343,1,good
no checking,critical/other existing credit,radio/tv,<100,>=7,male single,none,car,none,own,skilled,yes,yes,3,4,33,2,18,6070,1,good
0<=X<200,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,none,car,none,rent,skilled,yes,yes,4,3,35,1,9,1919,1,good
no checking,critical/other existing credit,new car,<100,<1,female div/dep/mar,none,car,none,own,high qualif/self emp/mgmt,none,yes,4,4,35,2,11,1393,1,good
<0,critical/other existing credit,new car,<100,>=7,male mar/wid,none,car,none,own,skilled,yes,yes,4,3,30,2,21,1602,1,good
0<=X<200,critical/other existing credit,business,<100,>=7,male div/sep,none,real estate,none,own,skilled,yes,yes,4,4,31,2,24,1935,1,bad
0<=X<200,existing paid,radio/tv,<100,4<=X<7,female div/dep/mar,none,real estate,none,own,skilled,none,yes,2,1,27,1,12,2930,1,good
0<=X<200,existing paid,new car,100<=X<500,1<=X<4,female div/dep/mar,none,car,none,rent,skilled,yes,yes,2,4,28,2,15,2631,1,bad
0<=X<200,existing paid,new car,<100,<1,female div/dep/mar,none,car,none,own,unskilled resident,yes,yes,3,4,25,1,24,1355,1,bad
<0,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,none,real estate,none,own,skilled,yes,yes,3,2,25,2,21,1835,1,bad
>=200,critical/other existing credit,radio/tv,no known savings,4<=X<7,male single,none,life insurance,none,own,skilled,yes,yes,4,2,27,2,10,1347,1,good
<0,existing paid,used car,500<=X<1000,unemployed,female div/dep/mar,none,life insurance,none,rent,unemp/unskilled non res,yes,yes,1,2,23,1,6,1352,1,good
<0,no credits/all paid,new car,<100,>=7,male single,none,car,none,rent,skilled,none,yes,4,3,33,2,15,950,2,bad
0<=X<200,delayed previously,radio/tv,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,2,4,51,1,11,4771,1,good
<0,no credits/all paid,furniture/equipment,<100,1<=X<4,male div/sep,guarantor,real estate,none,own,skilled,none,yes,2,2,32,2,30,4583,1,good
no checking,existing paid,furniture/equipment,<100,1<=X<4,male mar/wid,none,life insurance,none,rent,skilled,none,yes,1,2,21,1,6,1766,1,good
<0,existing paid,new car,<100,<1,female div/dep/mar,none,real estate,none,own,unskilled resident,yes,yes,1,1,35,1,47,10722,1,good
no checking,existing paid,new car,500<=X<1000,1<=X<4,male single,none,no known property,none,rent,unskilled resident,none,no,3,2,40,1,10,1597,2,good
no checking,critical/other existing credit,radio/tv,100<=X<500,1<=X<4,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,1,1,27,2,6,1237,1,good
<0,existing paid,radio/tv,<100,>=7,male single,none,real estate,none,own,unskilled resident,none,yes,3,4,52,1,10,2315,1,good
0<=X<200,existing paid,furniture/equipment,<100,1<=X<4,male div/sep,none,car,none,own,unskilled resident,none,yes,4,2,31,1,10,1521,1,good
no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,none,car,none,own,skilled,none,yes,3,4,40,1,22,2675,1,good
no checking,critical/other existing credit,used car,<100,4<=X<7,male single,none,car,none,own,high qualif/self emp/mgmt,yes,yes,3,2,35,2,33,7253,1,good
0<=X<200,existing paid,other,no known savings,unemployed,male single,none,no known property,bank,for free,unemp/unskilled non res,yes,yes,3,4,40,1,48,5381,1,good
0<=X<200,existing paid,radio/tv,100<=X<500,1<=X<4,male mar/wid,none,car,none,own,skilled,none,yes,2,2,24,1,72,5595,1,bad
no checking,critical/other existing credit,other,<100,unemployed,male single,co applicant,no known property,bank,own,high qualif/self emp/mgmt,yes,yes,4,2,27,2,24,6314,1,good
<0,no credits/all paid,business,<100,unemployed,male single,none,life insurance,stores,own,skilled,yes,yes,2,4,50,2,27,5293,1,bad
0<=X<200,critical/other existing credit,used car,<100,1<=X<4,male single,none,car,none,own,skilled,yes,yes,3,4,34,2,36,5800,1,good
no checking,existing paid,education,<100,1<=X<4,male single,none,no known property,stores,for free,skilled,yes,yes,4,4,37,1,36,1819,1,bad
no checking,critical/other existing credit,radio/tv,no known savings,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,2,3,36,2,30,6742,1,good
no checking,existing paid,radio/tv,<100,>=7,female div/dep/mar,none,car,bank,rent,high qualif/self emp/mgmt,yes,yes,4,2,54,1,15,3568,1,good
no checking,all paid,radio/tv,500<=X<1000,>=7,male single,none,life insurance,bank,own,unskilled resident,none,yes,2,4,45,1,6,1750,2,good
<0,critical/other existing credit,new car,<100,<1,male single,none,real estate,none,rent,unskilled resident,none,no,1,3,48,2,10,2241,2,good
>=200,no credits/all paid,business,<100,<1,male div/sep,none,life insurance,none,own,skilled,none,yes,2,1,33,2,42,6289,1,good
no checking,critical/other existing credit,new car,<100,4<=X<7,male single,none,real estate,none,own,unskilled resident,none,yes,2,1,42,3,4,1455,2,good
<0,critical/other existing credit,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,none,rent,skilled,none,yes,4,4,21,1,18,1049,1,good
0<=X<200,delayed previously,education,<100,>=7,male single,none,no known property,none,for free,skilled,none,yes,4,4,50,1,48,6224,1,bad
<0,existing paid,radio/tv,<100,<1,female div/dep/mar,none,real estate,none,own,skilled,yes,yes,4,4,35,1,24,2439,1,bad
no checking,critical/other existing credit,furniture/equipment,no known savings,1<=X<4,male mar/wid,none,life insurance,none,own,skilled,none,yes,1,2,27,2,6,1221,1,good
no checking,critical/other existing credit,used car,no known savings,>=7,male single,none,car,none,own,skilled,yes,yes,4,3,38,2,48,2751,2,good
no checking,existing paid,radio/tv,500<=X<1000,>=7,male div/sep,none,car,none,own,high qualif/self emp/mgmt,yes,yes,3,2,26,1,24,3235,1,good
0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid,none,life insurance,none,own,skilled,yes,yes,1,1,22,1,24,2039,1,bad
0<=X<200,delayed previously,new car,<100,1<=X<4,male div/sep,none,life insurance,none,own,skilled,none,yes,1,4,47,2,21,2353,1,good
0<=X<200,existing paid,radio/tv,<100,>=7,male mar/wid,guarantor,real estate,bank,own,unskilled resident,none,yes,3,3,40,2,12,1155,1,good
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,co applicant,life insurance,none,own,unskilled resident,none,yes,2,2,29,1,12,3590,2,good
no checking,critical/other existing credit,new car,<100,<1,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,4,1,30,2,18,1055,1,good
>=200,critical/other existing credit,education,<100,<1,male div/sep,none,car,none,rent,skilled,none,yes,2,1,33,1,21,2319,1,bad
no checking,existing paid,furniture/equipment,<100,>=7,male single,none,real estate,none,own,skilled,none,yes,4,2,50,2,21,2241,1,good
<0,critical/other existing credit,radio/tv,>=1000,>=7,female div/dep/mar,none,life insurance,none,rent,high qualif/self emp/mgmt,yes,yes,4,4,57,2,24,1231,1,good
0<=X<200,delayed previously,business,100<=X<500,>=7,male div/sep,none,car,bank,own,skilled,none,yes,1,2,31,2,6,1449,2,good
0<=X<200,existing paid,radio/tv,<100,<1,male mar/wid,none,real estate,none,rent,skilled,none,yes,1,1,23,1,12,1534,1,bad
<0,existing paid,furniture/equipment,<100,>=7,male single,none,life insurance,bank,own,skilled,none,yes,2,2,41,1,36,2712,2,bad
>=200,all paid,radio/tv,no known savings,4<=X<7,male single,none,car,bank,own,unskilled resident,none,yes,4,4,49,1,18,1445,1,good
0<=X<200,existing paid,furniture/equipment,100<=X<500,<1,male single,co applicant,no known property,none,rent,high qualif/self emp/mgmt,yes,yes,4,1,29,1,36,9034,1,bad
0<=X<200,delayed previously,furniture/equipment,<100,unemployed,female div/dep/mar,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,3,2,34,1,24,2064,1,bad
0<=X<200,critical/other existing credit,furniture/equipment,<100,>=7,male single,none,car,none,rent,skilled,yes,yes,1,4,28,3,12,3617,1,good
0<=X<200,existing paid,radio/tv,100<=X<500,1<=X<4,female div/dep/mar,co applicant,no known property,none,for free,skilled,none,yes,4,4,50,1,36,2671,1,bad
<0,existing paid,used car,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,4,3,26,1,48,4788,2,good
<0,existing paid,domestic appliance,<100,<1,female div/dep/mar,none,real estate,none,own,skilled,none,yes,4,1,27,1,6,343,1,good
<0,all paid,new car,no known savings,1<=X<4,male single,none,life insurance,none,own,unskilled resident,none,yes,4,2,40,2,21,1647,2,bad
0<=X<200,existing paid,new car,no known savings,1<=X<4,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,4,2,33,1,18,1042,1,bad
0<=X<200,delayed previously,new car,no known savings,1<=X<4,female div/dep/mar,none,car,none,rent,skilled,yes,yes,4,4,42,2,24,1965,1,good
0<=X<200,critical/other existing credit,radio/tv,<100,>=7,male single,none,real estate,none,own,skilled,none,yes,4,4,36,1,36,2337,1,good
0<=X<200,existing paid,new car,<100,<1,male single,none,life insurance,none,own,skilled,none,yes,4,1,26,1,24,1201,1,good
no checking,critical/other existing credit,used car,no known savings,4<=X<7,male single,none,car,none,own,skilled,yes,yes,4,4,43,2,24,2197,2,good
<0,existing paid,new car,<100,<1,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,3,2,27,1,9,1422,1,bad
0<=X<200,no credits/all paid,business,<100,>=7,female div/dep/mar,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,2,4,42,2,27,8318,1,bad
no checking,no credits/all paid,radio/tv,<100,>=7,male mar/wid,none,car,none,own,unskilled resident,none,yes,4,4,39,1,6,426,1,good
0<=X<200,all paid,new car,no known savings,unemployed,male single,co applicant,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,4,4,36,1,48,12169,1,good
<0,existing paid,new car,no known savings,unemployed,female div/dep/mar,none,life insurance,none,own,high qualif/self emp/mgmt,yes,yes,4,3,75,1,6,1374,1,good
no checking,critical/other existing credit,radio/tv,no known savings,>=7,female div/dep/mar,none,life insurance,bank,own,unskilled resident,none,yes,4,3,33,1,12,797,2,bad
0<=X<200,existing paid,radio/tv,500<=X<1000,<1,male mar/wid,none,real estate,none,rent,skilled,none,yes,1,3,25,1,18,3213,1,good
no checking,critical/other existing credit,new car,no known savings,>=7,male single,none,no known property,none,for free,high qualif/self emp/mgmt,yes,yes,4,4,30,1,21,12680,1,bad
no checking,existing paid,new car,100<=X<500,>=7,male mar/wid,none,real estate,none,rent,unskilled resident,none,yes,4,4,41,1,24,1469,1,good
no checking,existing paid,radio/tv,<100,4<=X<7,male single,none,life insurance,none,own,skilled,none,yes,3,2,51,1,6,1595,2,good
>=200,delayed previously,business,<100,>=7,male single,none,real estate,none,own,high qualif/self emp/mgmt,yes,yes,4,4,66,1,30,1908,1,bad
<0,existing paid,radio/tv,<100,<1,male div/sep,none,life insurance,none,own,skilled,none,yes,4,3,32,1,24,1938,1,bad
<0,existing paid,used car,no known savings,>=7,male single,none,no known property,none,for free,skilled,none,yes,3,4,47,1,36,8335,1,bad
>=200,existing paid,radio/tv,100<=X<500,>=7,male div/sep,none,real estate,none,own,skilled,none,yes,2,4,49,1,9,1126,1,good
0<=X<200,existing paid,education,no known savings,1<=X<4,male mar/wid,none,car,none,own,skilled,none,yes,2,2,27,1,36,3711,1,good
0<=X<200,critical/other existing credit,new car,<100,unemployed,male single,none,car,none,for free,unemp/unskilled non res,yes,yes,2,3,68,3,16,1175,1,good
no checking,existing paid,new car,no known savings,1<=X<4,male single,guarantor,life insurance,none,own,unskilled resident,none,yes,4,4,27,1,10,1309,1,bad
0<=X<200,existing paid,radio/tv,<100,1<=X<4,female div/dep/mar,guarantor,real estate,none,own,skilled,none,yes,2,3,64,1,6,753,1,good
0<=X<200,existing paid,radio/tv,<100,1<=X<4,male single,guarantor,real estate,none,own,skilled,none,yes,2,2,35,1,7,2576,1,good
<0,existing paid,radio/tv,<100,>=7,male single,guarantor,life insurance,none,own,skilled,none,yes,1,3,39,1,30,2522,2,good
no checking,critical/other existing credit,radio/tv,100<=X<500,>=7,male single,none,real estate,none,own,skilled,yes,yes,3,4,36,1,24,2872,2,good
no checking,critical/other existing credit,education,500<=X<1000,>=7,male single,none,car,none,own,skilled,yes,yes,4,2,52,2,9,936,1,good
<0,no credits/all paid,new car,<100,1<=X<4,male single,none,car,bank,own,skilled,none,yes,4,4,48,2,12,1082,1,bad
0<=X<200,all paid,new car,100<=X<500,4<=X<7,male single,none,no known property,none,own,skilled,none,yes,2,3,29,1,9,1437,1,bad
0<=X<200,existing paid,new car,no known savings,1<=X<4,male single,none,no known property,none,for free,skilled,yes,yes,1,4,37,1,36,12389,1,bad
<0,existing paid,furniture/equipment,<100,>=7,male single,none,life insurance,none,rent,high qualif/self emp/mgmt,yes,yes,4,2,39,1,24,3345,1,bad
no checking,existing paid,business,<100,4<=X<7,male single,none,real estate,none,own,unskilled resident,none,yes,1,4,74,1,5,3448,1,good
>=200,existing paid,business,<100,4<=X<7,male single,none,life insurance,none,rent,skilled,yes,yes,2,4,26,1,15,2687,1,good
0<=X<200,existing paid,radio/tv,500<=X<1000,1<=X<4,male single,none,real estate,none,own,unskilled resident,none,yes,4,3,66,1,12,766,1,bad
<0,existing paid,radio/tv,<100,<1,female div/dep/mar,none,car,stores,own,skilled,none,yes,4,1,27,1,18,2389,1,good
<0,existing paid,new car,100<=X<500,1<=X<4,male single,none,car,none,own,unskilled resident,yes,yes,3,4,35,1,18,4380,2,good
0<=X<200,all paid,furniture/equipment,>=1000,1<=X<4,male single,none,car,stores,own,skilled,yes,yes,4,2,34,1,30,3496,2,good
no checking,critical/other existing credit,furniture/equipment,<100,<1,female div/dep/mar,none,life insurance,none,rent,skilled,yes,yes,2,4,23,2,36,7127,1,bad
no checking,critical/other existing credit,radio/tv,<100,1<=X<4,female div/dep/mar,none,life insurance,none,own,skilled,none,yes,4,2,35,2,12,1291,1,good
0<=X<200,no credits/all paid,business,100<=X<500,4<=X<7,male single,none,no known property,none,for free,unskilled resident,none,yes,4,4,34,1,48,3844,2,bad
<0,no credits/all paid,radio/tv,<100,1<=X<4,male single,none,life insurance,none,rent,skilled,yes,yes,4,2,28,2,12,6199,1,bad
0<=X<200,no credits/all paid,business,<100,1<=X<4,male single,none,real estate,none,own,unskilled resident,yes,yes,1,4,36,3,24,4241,1,bad
no checking,critical/other existing credit,radio/tv,no known savings,>=7,female div/dep/mar,none,real estate,none,own,skilled,yes,yes,4,2,38,2,12,1240,1,good
0<=X<200,no credits/all paid,new car,100<=X<500,<1,female div/dep/mar,none,car,none,own,skilled,none,yes,3,3,28,2,18,2278,1,bad
>=200,critical/other existing credit,business,>=1000,1<=X<4,male div/sep,none,real estate,none,own,skilled,yes,yes,2,4,36,2,24,1275,1,good
>=200,existing paid,radio/tv,<100,>=7,male single,none,car,none,own,skilled,none,yes,4,2,31,1,36,4473,1,good
no checking,no credits/all paid,new car,100<=X<500,1<=X<4,male single,none,no known property,bank,rent,skilled,none,no,4,1,35,1,6,1204,1,good
0<=X<200,existing paid,furniture/equipment,100<=X<500,1<=X<4,female div/dep/mar,co applicant,car,none,rent,skilled,none,yes,2,4,21,1,30,3441,1,bad
>=200,critical/other existing credit,new car,<100,>=7,male single,none,real estate,none,own,skilled,none,no,1,4,46,2,6,1343,2,good
0<=X<200,existing paid,new car,<100,4<=X<7,male single,none,car,none,own,skilled,none,yes,2,2,32,1,12,6078,1,good
no checking,critical/other existing credit,furniture/equipment,<100,unemployed,male single,none,car,none,own,high qualif/self emp/mgmt,none,yes,2,3,31,1,9,2406,1,good
